Start to record CBF use ratio, in 2026.02.27 12: 18: 28

76:  14.5325%, max:  3.4405e-01, min:  0.0000e+00, mean:  1.6280e-02, non_zero_mean:  2.2899e-02, 50%:  2.2170e-06, 75%:  4.7633e-04, 90%:  7.7966e-02, 95%:  1.3604e-01, 99%:  2.0001e-01
77:  13.2507%, max:  3.1493e-01, min:  0.0000e+00, mean:  1.5312e-02, non_zero_mean:  2.2516e-02, 50%:  1.8701e-06, 75%:  4.2033e-04, 90%:  6.6951e-02, 95%:  1.3319e-01, 99%:  2.0025e-01
78:  13.0371%, max:  4.0320e-01, min:  0.0000e+00, mean:  1.5951e-02, non_zero_mean:  2.2989e-02, 50%:  2.1029e-06, 75%:  4.5094e-04, 90%:  6.7817e-02, 95%:  1.4212e-01, 99%:  2.1526e-01
79:  13.9404%, max:  4.6533e-01, min:  0.0000e+00, mean:  1.8307e-02, non_zero_mean:  2.6530e-02, 50%:  2.0862e-06, 75%:  4.9567e-04, 90%:  8.6105e-02, 95%:  1.5608e-01, 99%:  2.2558e-01
80:  13.9648%, max:  5.1462e-01, min:  0.0000e+00, mean:  1.9278e-02, non_zero_mean:  2.7868e-02, 50%:  2.0862e-06, 75%:  4.9582e-04, 90%:  9.7499e-02, 95%:  1.6204e-01, 99%:  2.2667e-01
81:  14.0564%, max:  4.0671e-01, min:  0.0000e+00, mean:  1.9688e-02, non_zero_mean:  2.7865e-02, 50%:  2.2715e-06, 75%:  4.8416e-04, 90%:  9.6763e-02, 95%:  1.6504e-01, 99%:  2.3943e-01
82:  13.3545%, max:  3.9970e-01, min:  0.0000e+00, mean:  1.8222e-02, non_zero_mean:  2.6009e-02, 50%:  2.2082e-06, 75%:  4.2998e-04, 90%:  8.1212e-02, 95%:  1.5952e-01, 99%:  2.3749e-01
83:  14.1602%, max:  4.1596e-01, min:  0.0000e+00, mean:  1.9950e-02, non_zero_mean:  2.8334e-02, 50%:  2.2650e-06, 75%:  4.7134e-04, 90%:  9.3116e-02, 95%:  1.6832e-01, 99%:  2.5104e-01
84:  13.3240%, max:  4.1795e-01, min:  0.0000e+00, mean:  1.8732e-02, non_zero_mean:  2.6832e-02, 50%:  2.2054e-06, 75%:  4.3455e-04, 90%:  7.9033e-02, 95%:  1.6192e-01, 99%:  2.5563e-01
85:  14.3372%, max:  3.9360e-01, min:  0.0000e+00, mean:  2.0119e-02, non_zero_mean:  2.8718e-02, 50%:  2.2352e-06, 75%:  4.2638e-04, 90%:  9.3360e-02, 95%:  1.6999e-01, 99%:  2.5261e-01
86:  13.8367%, max:  4.4043e-01, min:  0.0000e+00, mean:  1.9483e-02, non_zero_mean:  2.7798e-02, 50%:  2.2948e-06, 75%:  4.5371e-04, 90%:  8.5605e-02, 95%:  1.7147e-01, 99%:  2.4749e-01
87:  13.2751%, max:  3.9328e-01, min:  0.0000e+00, mean:  1.9999e-02, non_zero_mean:  2.9508e-02, 50%:  1.9781e-06, 75%:  3.9255e-04, 90%:  8.4890e-02, 95%:  1.8209e-01, 99%:  2.4971e-01
88:  13.4094%, max:  3.8459e-01, min:  0.0000e+00, mean:  2.0395e-02, non_zero_mean:  3.0234e-02, 50%:  1.9744e-06, 75%:  3.9896e-04, 90%:  9.0471e-02, 95%:  1.8494e-01, 99%:  2.5025e-01
89:  12.8540%, max:  4.5485e-01, min:  0.0000e+00, mean:  1.9653e-02, non_zero_mean:  2.9245e-02, 50%:  1.8477e-06, 75%:  3.9111e-04, 90%:  8.0729e-02, 95%:  1.8500e-01, 99%:  2.5164e-01
90:  11.8774%, max:  3.6653e-01, min:  0.0000e+00, mean:  1.7988e-02, non_zero_mean:  2.6716e-02, 50%:  1.8874e-06, 75%:  3.3299e-04, 90%:  5.6538e-02, 95%:  1.7307e-01, 99%:  2.5392e-01
91:  12.8479%, max:  3.7603e-01, min:  0.0000e+00, mean:  1.9887e-02, non_zero_mean:  2.9966e-02, 50%:  1.7583e-06, 75%:  3.3397e-04, 90%:  8.4808e-02, 95%:  1.8237e-01, 99%:  2.5517e-01
92:  13.4460%, max:  3.7341e-01, min:  0.0000e+00, mean:  2.0045e-02, non_zero_mean:  3.0463e-02, 50%:  1.7285e-06, 75%:  3.3317e-04, 90%:  8.8912e-02, 95%:  1.8361e-01, 99%:  2.4796e-01
93:  13.4399%, max:  3.6714e-01, min:  0.0000e+00, mean:  2.0231e-02, non_zero_mean:  3.0740e-02, 50%:  1.7378e-06, 75%:  3.3285e-04, 90%:  9.7754e-02, 95%:  1.8466e-01, 99%:  2.4486e-01
94:  13.4949%, max:  3.8734e-01, min:  0.0000e+00, mean:  1.9181e-02, non_zero_mean:  2.8879e-02, 50%:  1.8338e-06, 75%:  3.3290e-04, 90%:  8.7101e-02, 95%:  1.6975e-01, 99%:  2.4469e-01
95:  12.9761%, max:  3.5203e-01, min:  0.0000e+00, mean:  1.9137e-02, non_zero_mean:  2.9151e-02, 50%:  1.7285e-06, 75%:  2.8341e-04, 90%:  8.2436e-02, 95%:  1.7986e-01, 99%:  2.4514e-01
96:  12.7319%, max:  3.7259e-01, min:  0.0000e+00, mean:  1.7980e-02, non_zero_mean:  2.7359e-02, 50%:  1.7453e-06, 75%:  1.8105e-04, 90%:  7.0155e-02, 95%:  1.6815e-01, 99%:  2.3886e-01
97:  12.1338%, max:  4.0628e-01, min:  0.0000e+00, mean:  1.6881e-02, non_zero_mean:  2.6141e-02, 50%:  1.7285e-06, 75%:  1.1958e-04, 90%:  5.9500e-02, 95%:  1.5791e-01, 99%:  2.3931e-01
98:  12.4573%, max:  4.1426e-01, min:  0.0000e+00, mean:  1.7535e-02, non_zero_mean:  2.7492e-02, 50%:  1.6689e-06, 75%:  4.9323e-05, 90%:  6.4045e-02, 95%:  1.6375e-01, 99%:  2.4066e-01
99:  12.4634%, max:  4.4096e-01, min:  0.0000e+00, mean:  1.8307e-02, non_zero_mean:  2.8835e-02, 50%:  1.6093e-06, 75%:  5.0770e-05, 90%:  6.5388e-02, 95%:  1.7381e-01, 99%:  2.4869e-01
100:  12.4756%, max:  3.5050e-01, min:  0.0000e+00, mean:  1.8572e-02, non_zero_mean:  2.8812e-02, 50%:  1.7285e-06, 75%:  3.8094e-05, 90%:  6.8778e-02, 95%:  1.7764e-01, 99%:  2.4457e-01
101:  13.2202%, max:  3.3587e-01, min:  0.0000e+00, mean:  1.9585e-02, non_zero_mean:  2.9919e-02, 50%:  1.7881e-06, 75%:  2.8345e-04, 90%:  7.3175e-02, 95%:  1.8844e-01, 99%:  2.5073e-01
102:  13.1714%, max:  3.7299e-01, min:  0.0000e+00, mean:  2.1469e-02, non_zero_mean:  3.3074e-02, 50%:  1.7285e-06, 75%:  6.8884e-05, 90%:  1.0214e-01, 95%:  1.9842e-01, 99%:  2.5819e-01
103:  14.3982%, max:  3.6428e-01, min:  0.0000e+00, mean:  2.3921e-02, non_zero_mean:  3.6631e-02, 50%:  1.7518e-06, 75%:  2.8361e-04, 90%:  1.2222e-01, 95%:  2.1101e-01, 99%:  2.6956e-01
104:  13.7451%, max:  3.9875e-01, min:  0.0000e+00, mean:  2.3522e-02, non_zero_mean:  3.6182e-02, 50%:  1.6820e-06, 75%:  1.2139e-04, 90%:  1.0988e-01, 95%:  2.1590e-01, 99%:  2.7244e-01
105:  13.5620%, max:  4.1408e-01, min:  0.0000e+00, mean:  2.3121e-02, non_zero_mean:  3.6480e-02, 50%:  1.6391e-06, 75%:  2.3341e-05, 90%:  1.0126e-01, 95%:  2.1638e-01, 99%:  2.7791e-01
106:  12.9395%, max:  3.5536e-01, min:  0.0000e+00, mean:  2.2045e-02, non_zero_mean:  3.4477e-02, 50%:  1.6093e-06, 75%:  1.8828e-05, 90%:  8.7288e-02, 95%:  2.1387e-01, 99%:  2.8131e-01
107:  11.2366%, max:  4.0854e-01, min:  0.0000e+00, mean:  1.9455e-02, non_zero_mean:  3.1076e-02, 50%:  1.5497e-06, 75%:  1.0610e-05, 90%:  4.6875e-02, 95%:  2.0528e-01, 99%:  2.8094e-01
108:  13.8916%, max:  3.9124e-01, min:  0.0000e+00, mean:  2.4247e-02, non_zero_mean:  3.7968e-02, 50%:  1.6093e-06, 75%:  5.1621e-05, 90%:  1.1726e-01, 95%:  2.2125e-01, 99%:  2.7321e-01
109:  14.1357%, max:  4.1696e-01, min:  0.0000e+00, mean:  2.4375e-02, non_zero_mean:  3.8100e-02, 50%:  1.6391e-06, 75%:  3.7387e-05, 90%:  1.1132e-01, 95%:  2.2013e-01, 99%:  2.8071e-01
110:  14.4165%, max:  4.0513e-01, min:  0.0000e+00, mean:  2.4896e-02, non_zero_mean:  3.9051e-02, 50%:  1.6093e-06, 75%:  3.1430e-05, 90%:  1.1732e-01, 95%:  2.2090e-01, 99%:  2.7991e-01
