Start to record CBF use ratio, in 2025.12.30 21: 20: 27

91:  5.1758%, max:  4.9766e-01, min:  0.0000e+00, mean:  1.0572e-02, non_zero_mean:  1.0588e-02, 50%:  1.4838e-03, 75%:  2.0661e-03, 90%:  2.7285e-03, 95%:  2.2379e-02, 99%:  2.5396e-01
92:  5.4565%, max:  4.0821e-01, min:  0.0000e+00, mean:  1.1231e-02, non_zero_mean:  1.1248e-02, 50%:  1.5174e-03, 75%:  2.1141e-03, 90%:  2.8175e-03, 95%:  4.8308e-02, 99%:  2.4735e-01
93:  6.1523%, max:  4.3214e-01, min:  0.0000e+00, mean:  1.2169e-02, non_zero_mean:  1.2190e-02, 50%:  1.5445e-03, 75%:  2.1231e-03, 90%:  2.8516e-03, 95%:  8.2324e-02, 99%:  2.4832e-01
94:  5.0537%, max:  4.3930e-01, min:  0.0000e+00, mean:  1.0128e-02, non_zero_mean:  1.0141e-02, 50%:  1.5476e-03, 75%:  2.1296e-03, 90%:  2.8198e-03, 95%:  1.3508e-02, 99%:  2.4306e-01
95:  4.9377%, max:  4.4426e-01, min:  1.1921e-07, mean:  1.0212e-02, non_zero_mean:  1.0220e-02, 50%:  1.5680e-03, 75%:  2.1690e-03, 90%:  2.8474e-03, 95%:  5.4478e-03, 99%:  2.4415e-01
96:  4.1870%, max:  5.0969e-01, min:  4.4703e-08, mean:  8.9826e-03, non_zero_mean:  8.9936e-03, 50%:  1.5186e-03, 75%:  2.1093e-03, 90%:  2.7129e-03, 95%:  3.3268e-03, 99%:  2.4403e-01
97:  4.6448%, max:  4.4146e-01, min:  0.0000e+00, mean:  9.4989e-03, non_zero_mean:  9.5082e-03, 50%:  1.5164e-03, 75%:  2.1084e-03, 90%:  2.7746e-03, 95%:  3.4395e-03, 99%:  2.4563e-01
98:  5.3467%, max:  4.5898e-01, min:  0.0000e+00, mean:  1.0211e-02, non_zero_mean:  1.0225e-02, 50%:  1.5196e-03, 75%:  2.1086e-03, 90%:  2.7908e-03, 95%:  2.5590e-02, 99%:  2.4552e-01
99:  0.1282%, max:  3.0609e-01, min:  0.0000e+00, mean:  1.6183e-03, non_zero_mean:  1.6201e-03, 50%:  1.4057e-03, 75%:  1.9064e-03, 90%:  2.3763e-03, 95%:  2.6434e-03, 99%:  3.0732e-03
100:  0.3296%, max:  3.8548e-01, min:  0.0000e+00, mean:  1.9244e-03, non_zero_mean:  1.9264e-03, 50%:  1.4141e-03, 75%:  1.9040e-03, 90%:  2.3435e-03, 95%:  2.6268e-03, 99%:  3.0502e-03
101:  0.5066%, max:  4.5080e-01, min:  1.8626e-08, mean:  2.2163e-03, non_zero_mean:  2.2188e-03, 50%:  1.3996e-03, 75%:  1.8876e-03, 90%:  2.3363e-03, 95%:  2.6116e-03, 99%:  3.1028e-03
102:  0.6409%, max:  2.8482e-01, min:  0.0000e+00, mean:  2.3959e-03, non_zero_mean:  2.3985e-03, 50%:  1.4450e-03, 75%:  1.9443e-03, 90%:  2.4197e-03, 95%:  2.7016e-03, 99%:  3.1868e-03
103:  1.2207%, max:  4.7876e-01, min:  0.0000e+00, mean:  3.4924e-03, non_zero_mean:  3.4963e-03, 50%:  1.4210e-03, 75%:  1.9272e-03, 90%:  2.3955e-03, 95%:  2.7089e-03, 99%:  7.0494e-02
104:  1.7761%, max:  3.5389e-01, min:  0.0000e+00, mean:  4.2257e-03, non_zero_mean:  4.2319e-03, 50%:  1.4357e-03, 75%:  1.9456e-03, 90%:  2.4153e-03, 95%:  2.7705e-03, 99%:  1.5453e-01
105:  1.9104%, max:  4.6014e-01, min:  0.0000e+00, mean:  4.2967e-03, non_zero_mean:  4.3030e-03, 50%:  1.4338e-03, 75%:  1.9281e-03, 90%:  2.4372e-03, 95%:  2.7801e-03, 99%:  1.3450e-01
106:  2.3621%, max:  4.4644e-01, min:  0.0000e+00, mean:  5.1506e-03, non_zero_mean:  5.1591e-03, 50%:  1.4327e-03, 75%:  1.9413e-03, 90%:  2.4584e-03, 95%:  2.8206e-03, 99%:  1.9500e-01
107:  3.1189%, max:  4.1198e-01, min:  5.9605e-08, mean:  6.1009e-03, non_zero_mean:  6.1128e-03, 50%:  1.4919e-03, 75%:  2.0256e-03, 90%:  2.5643e-03, 95%:  2.9998e-03, 99%:  2.0526e-01
108:  4.6082%, max:  4.2224e-01, min:  2.9802e-08, mean:  9.0756e-03, non_zero_mean:  9.0917e-03, 50%:  1.4616e-03, 75%:  1.9982e-03, 90%:  2.6065e-03, 95%:  3.2760e-03, 99%:  2.3994e-01
109:  5.9631%, max:  4.1506e-01, min:  1.7881e-07, mean:  1.1383e-02, non_zero_mean:  1.1395e-02, 50%:  1.5416e-03, 75%:  2.1151e-03, 90%:  2.8057e-03, 95%:  6.6676e-02, 99%:  2.4918e-01
110:  7.5806%, max:  5.0508e-01, min:  0.0000e+00, mean:  1.4507e-02, non_zero_mean:  1.4540e-02, 50%:  1.5146e-03, 75%:  2.1057e-03, 90%:  2.9090e-03, 95%:  1.3860e-01, 99%:  2.6697e-01
